,ML1_FAM_1,ML2_BP_12,ML3_BP_125,ML4_BP_1255,00016274
0,ML1_FAM_1,ML2_BP_12,ML3_BP_125,ML4_BP_1252,5428
1,ML1_FAM_1,ML2_BP_12,ML3_BP_125,ML4_BP_1253,5414
2,ML1_FAM_1,ML2_BP_12,ML3_BP_125,ML4_BP_1251,5799
3,ML1_FAM_1,ML2_BP_12,ML3_BP_125,ML4_BP_1254,5425
4,ML1_FAM_1,ML2_BP_12,ML3_BP_123,ML4_BP_1236,12501
5,ML1_FAM_1,ML2_BP_12,ML3_BP_123,ML4_BP_1233,12507
6,ML1_FAM_1,ML2_BP_12,ML3_BP_123,ML4_BP_1235,70019
7,ML1_FAM_1,ML2_BP_12,ML3_BP_123,ML4_BP_12213,5858
8,ML1_FAM_1,ML2_BP_12,ML3_BP_123,ML4_BP_1231,5407
9,ML1_FAM_1,ML2_BP_12,ML3_BP_123,ML4_BP_1232,5849
10,ML1_FAM_1,ML2_BP_12,ML3_BP_123,ML4_BP_1240,5851
11,ML1_FAM_1,ML2_BP_12,ML3_BP_123,ML4_BP_1239,70003
12,ML1_FAM_1,ML2_BP_12,ML3_BP_123,ML4_BP_1238,5809
13,ML1_FAM_1,ML2_BP_12,ML3_BP_123,ML4_BP_1237,5405
14,ML1_FAM_1,ML2_BP_12,ML3_BP_123,ML4_BP_1234,5412
15,ML1_FAM_1,ML2_BP_12,ML3_BP_128008,ML4_BP_1282008,8627
16,ML1_FAM_1,ML2_BP_12,ML3_BP_128008,ML4_BP_1284008,8488
17,ML1_FAM_1,ML2_BP_12,ML3_BP_128008,ML4_BP_1283008,8626
18,ML1_FAM_1,ML2_BP_12,ML3_BP_1210,ML4_BP_121009008,16562
19,ML1_FAM_1,ML2_BP_12,ML3_BP_1210,ML4_BP_121008008,16561
20,ML1_FAM_1,ML2_BP_12,ML3_BP_1210,ML4_BP_121001008,16545
21,ML1_FAM_1,ML2_BP_12,ML3_BP_1210,ML4_BP_121007008,16560
22,ML1_FAM_1,ML2_BP_12,ML3_BP_1210,ML4_BP_121005008,16555
23,ML1_FAM_1,ML2_BP_12,ML3_BP_1210,ML4_BP_121003008,16547
24,ML1_FAM_1,ML2_BP_12,ML3_BP_1210,ML4_BP_121004008,16548
25,ML1_FAM_1,ML2_BP_12,ML3_BP_1210,ML4_BP_121011008,16549
26,ML1_FAM_1,ML2_BP_12,ML3_BP_1210,ML4_BP_121006008,16554
27,ML1_FAM_1,ML2_BP_12,ML3_BP_1210,ML4_BP_121010008,16551
28,ML1_FAM_1,ML2_BP_12,ML3_BP_1210,ML4_BP_121002008,16546
29,ML1_FAM_1,ML2_BP_12,ML3_BP_124,ML4_BP_1241,5427
30,ML1_FAM_1,ML2_BP_12,ML3_BP_124,ML4_BP_1245,5413
31,ML1_FAM_1,ML2_BP_12,ML3_BP_124,ML4_BP_1246,5857
32,ML1_FAM_1,ML2_BP_12,ML3_BP_124,ML4_BP_1242,5410
33,ML1_FAM_1,ML2_BP_12,ML3_BP_124,ML4_BP_1243,5787
34,ML1_FAM_1,ML2_BP_12,ML3_BP_124,ML4_BP_1244,5862
35,ML1_FAM_1,ML2_BP_12,ML3_BP_121,ML4_BP_1212,5790
36,ML1_FAM_1,ML2_BP_12,ML3_BP_121,ML4_BP_1214,5423
37,ML1_FAM_1,ML2_BP_12,ML3_BP_121,ML4_BP_1219,70004
38,ML1_FAM_1,ML2_BP_12,ML3_BP_121,ML4_BP_1215,5837
39,ML1_FAM_1,ML2_BP_12,ML3_BP_121,ML4_BP_1211,5798
40,ML1_FAM_1,ML2_BP_12,ML3_BP_127,ML4_BP_127502,7177
41,ML1_FAM_1,ML2_BP_12,ML3_BP_127,ML4_BP_127503,8005
42,ML1_FAM_1,ML2_BP_12,ML3_BP_127,ML4_BP_127501,7170
43,ML1_FAM_1,ML2_BP_12,ML3_BP_127,ML4_BP_127504,16453
44,ML1_FAM_1,ML2_BP_12,ML3_BP_127,ML4_BP_1274,12520
